user_id,date,listen_minutes,unique_tracks,playlist_additions,shares,top_genre
u1,2026-04-18,45,12,3,1,Pop
u1,2026-04-19,60,15,5,2,Pop
u1,2026-04-20,30,8,2,0,Rock
u1,2026-04-21,75,20,6,3,Pop
u1,2026-04-22,50,14,4,1,Jazz
u1,2026-04-23,65,18,5,2,Pop
u1,2026-04-24,80,22,7,3,Pop
u1,2026-04-25,55,16,3,1,Electronic
u1,2026-04-26,70,19,5,2,Pop
u1,2026-04-27,40,11,2,0,Rock
u1,2026-04-28,90,25,8,4,Pop
u1,2026-04-29,85,23,7,3,Pop
u1,2026-04-30,75,21,6,2,Pop
u2,2026-04-18,20,6,1,0,Hip-Hop
u2,2026-04-19,35,9,2,1,Hip-Hop
u2,2026-04-20,25,7,1,0,R&B
u2,2026-04-21,40,11,3,1,Hip-Hop
u2,2026-04-22,15,4,0,0,Pop
u2,2026-04-23,50,13,4,2,Hip-Hop
u2,2026-04-24,45,12,3,1,Hip-Hop
u2,2026-04-25,30,8,2,0,R&B
u2,2026-04-26,55,14,5,2,Hip-Hop
u2,2026-04-27,20,5,1,0,Pop
u2,2026-04-28,60,16,5,2,Hip-Hop
u2,2026-04-29,35,9,2,1,R&B
u2,2026-04-30,65,17,6,3,Hip-Hop
u3,2026-04-18,100,28,10,5,Rock
u3,2026-04-19,110,30,11,6,Rock
u3,2026-04-20,95,26,9,4,Metal
u3,2026-04-21,120,33,12,7,Rock
u3,2026-04-22,105,29,10,5,Rock
u3,2026-04-23,115,31,11,6,Rock
u3,2026-04-24,130,36,13,8,Rock
u3,2026-04-25,90,25,9,4,Metal
u3,2026-04-26,125,34,12,7,Rock
u3,2026-04-27,100,27,10,5,Rock
u3,2026-04-28,140,38,14,9,Rock
u3,2026-04-29,135,37,13,8,Rock
u3,2026-04-30,145,40,15,10,Rock
u4,2026-04-20,55,15,4,2,Classical
u4,2026-04-21,60,16,5,2,Classical
u4,2026-04-22,45,12,3,1,Jazz
u4,2026-04-23,70,18,6,3,Classical
u4,2026-04-24,50,14,4,1,Jazz
u4,2026-04-25,65,17,5,2,Classical
u4,2026-04-26,80,21,7,3,Classical
u4,2026-04-27,40,11,2,0,Jazz
u4,2026-04-28,85,23,8,4,Classical
u4,2026-04-29,75,20,6,3,Classical
u4,2026-04-30,70,19,5,2,Classical
u5,2026-04-18,10,3,0,0,Electronic
u5,2026-04-19,25,6,1,0,Electronic
u5,2026-04-21,30,8,2,1,Electronic
u5,2026-04-23,15,4,1,0,EDM
u5,2026-04-25,40,11,3,1,Electronic
u5,2026-04-27,20,5,1,0,EDM
u5,2026-04-28,35,9,2,1,Electronic
u5,2026-04-29,45,12,3,1,Electronic
u5,2026-04-30,50,13,4,2,Electronic
u6,2026-04-18,80,22,8,4,Turkish Pop
u6,2026-04-19,85,24,9,5,Turkish Pop
u6,2026-04-20,75,20,7,3,Turkish Folk
u6,2026-04-21,90,25,10,5,Turkish Pop
u6,2026-04-22,70,19,6,3,Turkish Pop
u6,2026-04-23,95,26,10,6,Turkish Pop
u6,2026-04-24,100,28,11,6,Turkish Pop
u6,2026-04-25,65,18,5,2,Turkish Folk
u6,2026-04-26,105,29,12,7,Turkish Pop
u6,2026-04-27,80,22,8,4,Turkish Pop
u6,2026-04-28,110,30,13,7,Turkish Pop
u6,2026-04-29,115,32,14,8,Turkish Pop
u6,2026-04-30,120,33,15,9,Turkish Pop
u7,2026-04-22,35,10,2,1,Jazz
u7,2026-04-23,40,11,3,1,Jazz
u7,2026-04-24,30,8,2,0,Blues
u7,2026-04-25,50,14,4,2,Jazz
u7,2026-04-26,45,12,3,1,Jazz
u7,2026-04-27,35,9,2,0,Blues
u7,2026-04-28,60,16,5,2,Jazz
u7,2026-04-29,55,15,4,2,Jazz
u7,2026-04-30,65,18,6,3,Jazz
u8,2026-04-18,60,16,5,2,Pop
u8,2026-04-19,55,15,4,1,Pop
u8,2026-04-20,70,19,6,3,Pop
u8,2026-04-21,65,17,5,2,Pop
u8,2026-04-22,80,21,7,3,R&B
u8,2026-04-23,75,20,6,3,Pop
u8,2026-04-24,85,23,8,4,Pop
u8,2026-04-25,60,16,5,2,R&B
u8,2026-04-26,90,24,9,5,Pop
u8,2026-04-27,70,19,6,3,Pop
u8,2026-04-28,95,26,10,5,Pop
u8,2026-04-29,100,27,11,6,Pop
u8,2026-04-30,105,28,12,7,Pop
u9,2026-04-25,20,5,1,0,Rock
u9,2026-04-26,30,8,2,1,Rock
u9,2026-04-27,25,6,1,0,Metal
u9,2026-04-28,40,11,3,1,Rock
u9,2026-04-29,35,9,2,1,Rock
u9,2026-04-30,45,12,3,2,Rock
u10,2026-04-18,50,14,4,2,Pop
u10,2026-04-19,45,12,3,1,Pop
u10,2026-04-20,60,16,5,2,Turkish Pop
u10,2026-04-21,55,15,4,2,Pop
u10,2026-04-22,65,17,6,3,Pop
u10,2026-04-23,70,19,7,3,Turkish Pop
u10,2026-04-24,75,20,7,4,Pop
u10,2026-04-25,50,13,4,1,Pop
u10,2026-04-26,80,22,8,4,Pop
u10,2026-04-27,60,16,5,2,Turkish Pop
u10,2026-04-28,85,23,9,5,Pop
u10,2026-04-29,90,24,10,5,Pop
u10,2026-04-30,80,21,8,4,Pop
